to_id,min_travel_time,second_min_travel_time,third_min_travel_time,median_travel_time,average_travel_time,q1_travel_time,q3_travel_time
949,5,7,7,9.5,15.4,7.25,25.5
950,4,6,9,10.5,16.8,9,27.5
951,3,6,7,9,15.2,7,25.5
952,2,3,4,10.5,14.1,4.25,23.5
953,4,6,7,13.5,16.1,7,23.5
954,3,5,5,12.5,16.1,5.5,25.5
955,3,6,7,14,15.3,7.25,21.5
956,4,7,8,14,15.1,8.25,20
957,4,6,7,14,15,7.5,21.5
958,5,5,6,12.5,15,6.25,22.5
959,6,7,8,14,16.6,8.25,24.5
960,3,5,5,11,14.2,5,23.5
961,2,5,7,9,14.9,7,25.5
962,6,7,8,11,16.3,8.5,25.75
963,8,10,13,14.5,18.6,13.25,26.5
964,3,8,10,12.5,15.5,10.25,22.75
965,5,6,8,10.5,15.5,8.25,24.75
966,4,6,9,11.5,15.3,9,23.75
967,4,7,10,12.5,15.6,10,23.5
968,6,6,8,12.5,14.9,8,22.5
969,7,7,8,12.5,14.9,8,21.75
970,6,7,8,12.5,14.4,8.25,20
971,7,9,10,12.5,15.4,10.25,19
972,9,10,11,14.5,19.3,11.5,25.75
973,7,10,12,14.5,20.3,12.5,30.75
974,7,7,8,15,17.9,8.25,25.5
975,7,9,10,17.5,17.6,10.25,22
976,6,8,10,16.5,17.1,10.25,22
977,4,4,6,14,15.2,6.25,21.5
978,4,5,6,14.5,15.5,6.25,21.5
979,8,9,10,17,17.9,10.25,22
980,7,9,11,18,18.6,11.25,23
981,7,8,8,12.5,14.4,8.25,20
982,12,15,17,18.5,19.8,17.25,21.5
983,10,12,12,15,17.2,12.25,21
984,11,11,12,15,16.9,12.25,20.5
985,10,11,13,16,17.1,13.25,21
986,9,11,13,15.5,16.6,13.25,20
987,11,13,14,15,18.1,14.25,22.5
988,8,9,10,14,16.1,10.25,19
989,9,12,13,17,18.6,13.25,21.75
990,10,11,12,14.5,16.1,12,19.75
991,14,15,16,17,19,16,21.75
992,4,6,9,13,17.2,9.5,24.75
993,7,9,9,11.5,18.2,9.5,28.75
994,8,11,12,12,19.3,12,29.75
995,5,8,9,10.5,16.8,9,27.5
996,5,7,8,10,15.9,8.25,25.75
997,17,17,19,22,27,19.5,36.5
998,7,10,12,14,16,12.25,20.75
999,6,10,12,14.5,17.1,12.5,23.5
1000,6,10,19,23.5,21.3,20,25
1001,5,11,20,25.5,22.3,20.75,26.75
1002,4,13,19,26,23.1,20.5,28.5
1003,6,11,18,24,21.5,19.25,25.75
1004,5,13,17,24.5,21.3,18.25,25.75
1005,5,16,17,26.5,24,19.25,29.75
1006,7,13,15,23.5,20.8,16.5,25
1007,5,15,15,24,21.5,16.75,26
1008,11,12,21,23,21.8,21.25,25
1009,9,14,21,29,25.6,22,30.75
1010,9,13,17,28,24.5,19.25,29.75
1011,9,11,22,26,23.5,22.5,28
1012,10,12,24,26,24,24,28
1013,10,11,23,25,23.1,23,27
1014,8,11,20,22.5,20.7,20.25,24
1015,9,15,17,25.5,23.2,18.5,27.75
1016,11,16,17,24.5,22.7,18.25,26.75
1017,9,12,18,21.5,20,18.25,23
1018,21,28,31,32,37.1,31,45.75
1019,18,25,28,29,34.3,28.25,44.75
1020,19,20,21,24,27.7,21.25,35.5
1021,20,22,23,24,31,23.25,41.75
1022,15,15,17,19,23.4,17,31.5
1023,7,16,19,20,24.9,19,33.75
1024,9,15,17,19,24.7,17.25,35.5
1025,11,18,20,22,26.4,20,33.75
1026,22,22,22,26.5,29.5,22.25,33
1027,17,24,27,28,33.1,27,41.75
1028,9,11,11,16,19.8,11.25,25.75
1029,21,21,23,25.5,28.4,23,31.5
1030,10,10,12,18.5,19.7,12.25,23.5
1031,15,16,17,21.5,24.9,17.25,29.75
1032,11,12,12,16,19.1,12.25,23
1033,18,19,19,20.5,24.3,19.25,26.75
1034,20,23,24,26.5,27.7,24,30
1035,19,21,23,25.5,27.3,23.25,30.5
1036,15,18,19,21.5,23,19.25,25.5
1037,19,19,21,22,25.6,21,27.75
1038,11,11,13,16,19.1,13.25,22.25
1039,8,8,9,16,16.8,9.25,20.25
1040,12,12,12,16.5,18,12.5,19.5
1041,12,12,14,18,19.7,14.25,21.75
1042,12,12,14,17.5,19.5,14.25,21
1043,8,14,15,17,17.7,15,19.5
1044,10,12,13,16.5,18.3,13.25,20
1045,12,13,14,17.5,18.9,14.5,20.5
1046,10,12,13,16,18.1,13.25,21.25
1047,12,15,18,20.5,21.9,18.25,24.75
1048,16,17,22,27.5,26,23,28.75
1049,6,14,19,23.5,21.7,19.75,24.75
1050,3,17,18,22.5,20.7,18.5,23.75
1051,12,12,21,26,24,22,28
1052,11,15,23,25.5,23.6,23.25,27
1053,9,19,21,23.5,22.7,21.25,25
1054,6,13,19,22.5,20.2,19.25,23.75
1055,8,16,17,18,18.9,17,19.75
1056,8,18,20,20.5,20.7,20,21.75
1057,9,19,19,21.5,21.3,19.5,22.75
1058,11,17,18,19.5,19.7,18.25,20.75
1059,12,16,21,22.5,21.5,21,23.75
1060,14,15,19,22,21.1,19.25,23
1061,16,18,18,20.5,20.7,18.25,22
1062,9,12,14,15.5,16.9,14.25,18.5
1063,13,20,21,22,22.1,21,22.75
1064,14,17,18,19.5,20.2,18.25,21
1065,23,26,28,30,30.4,28.25,32
1066,14,14,16,17.5,19.8,16.25,24.25
1067,24,24,26,27.5,28.8,26.25,31.5
1068,11,15,17,19.5,20.4,17.5,23.75
1069,19,23,26,27.5,29.1,26.25,33.75
1070,28,32,35,36.5,37.9,35.25,41.75
1071,18,22,25,26,28.1,25.25,32.75
1072,12,16,19,20,22.4,19.25,27.75
1073,21,24,24,28,30.9,24.5,37.75
1074,16,17,17,21.5,22.7,17.5,24.5