index,OBJECTID,poly_idx,latitude,longitude
948,949.0,949,36.093107780587886,-79.76110594833392
949,950.0,950,36.10621971872578,-79.77602536412634
950,951.0,951,36.09352593598349,-79.7747649533541
951,952.0,952,36.08964278599087,-79.80484715235364
952,953.0,953,36.104829397604846,-79.81521426348915
953,954.0,954,36.09961733834916,-79.79933885272234
954,955.0,955,36.08132500006203,-79.8187181468738
955,956.0,956,36.067724468722545,-79.83891659630297
956,957.0,957,36.06823467158056,-79.82304925145463
957,958.0,958,36.07687406847269,-79.80449511371944
958,959.0,959,36.06883014637407,-79.80664078258354
959,960.0,960,36.07782595099016,-79.79213283907794
960,961.0,961,36.08229563277885,-79.7815428579099
961,962.0,962,36.07786747005071,-79.76924645827472
962,963.0,963,36.06825993715114,-79.75435012698406
963,964.0,964,36.053711192833006,-79.75662848626727
964,965.0,965,36.06764593709441,-79.7757930574889
965,966.0,966,36.06073489202805,-79.77672334935284
966,967.0,967,36.04972163132199,-79.78234783526496
967,968.0,968,36.05402953950407,-79.79811950532849
968,969.0,969,36.05678846518395,-79.80928034039722
969,970.0,970,36.053520635335545,-79.82352204822747
970,971.0,971,36.05287769364811,-79.84363370737852
971,972.0,972,36.13444258241397,-79.77417165278564
972,973.0,973,36.13291113576872,-79.75502926984466
973,974.0,974,36.11448517420789,-79.81470704172074
974,975.0,975,36.07520610019852,-79.85884350621588
975,976.0,976,36.083625129162435,-79.85405788744792
976,977.0,977,36.10318676864856,-79.83057890900129
977,978.0,978,36.09632300893914,-79.83777951632065
978,979.0,979,36.117874247915815,-79.85775326696861
979,980.0,980,36.09823285340662,-79.85605944177371
980,981.0,981,36.04073945991745,-79.81279472186013
981,982.0,982,36.04340315578047,-79.8832143182152
982,983.0,983,36.04286977975557,-79.85362433373646
983,984.0,984,36.03387149030894,-79.83286868563752
984,985.0,985,36.02415122993451,-79.8252419511596
985,986.0,986,36.01719369168386,-79.81595872861435
986,987.0,987,36.041345113972035,-79.868588477534
987,988.0,988,36.056863751026825,-79.8650509268245
988,989.0,989,36.066298912951495,-79.87326881429352
989,990.0,990,36.03091339107872,-79.84760078960501
990,991.0,991,36.02379640417357,-79.86027349147344
991,992.0,992,36.12058911987718,-79.79276047634984
992,993.0,993,36.1189177845412,-79.76738825936748
993,994.0,994,36.10251510001863,-79.74680521930544
994,995.0,995,36.09165443065935,-79.7417039974735
995,996.0,996,36.08141950269527,-79.74662485102857
996,997.0,997,36.06440521229052,-79.72436189746752
997,998.0,998,36.02403750143058,-79.79120602258449
998,999.0,999,36.032657140325924,-79.76776085093773
999,1000.0,1000,35.97493760940206,-79.99340449892533
1000,1001.0,1001,35.97679180355106,-80.0095308412351
1001,1002.0,1002,35.96805546720217,-80.02429579536266
1002,1003.0,1003,35.968734256712004,-79.99032170713105
1003,1004.0,1004,35.958992904438695,-79.98725841222284
1004,1005.0,1005,35.94868056869067,-80.02426069332184
1005,1006.0,1006,35.946400360303166,-79.98919984590034
1006,1007.0,1007,35.94109868638983,-80.01061502425596
1007,1008.0,1008,35.981078467613166,-79.96095805263349
1008,1009.0,1009,35.97812478810375,-80.0382791938663
1009,1010.0,1010,35.93369842768034,-80.04092498511237
1010,1011.0,1011,36.00128387037537,-80.02199192489327
1011,1012.0,1012,35.99465292664744,-80.00908018157267
1012,1013.0,1013,35.98779133717494,-79.98992277348557
1013,1014.0,1014,35.995844505482836,-79.9744924295411
1014,1015.0,1015,35.92563250566286,-80.00958120783517
1015,1016.0,1016,35.93336475454769,-79.96804903116839
1016,1017.0,1017,35.96015235166452,-79.96313204906168
1017,1018.0,1018,36.20881546739093,-79.61350776511055
1018,1019.0,1019,36.13562540980872,-79.56743407811953
1019,1020.0,1020,36.0785047840133,-79.5728805675858
1020,1021.0,1021,36.10664359981774,-79.63166838965738
1021,1022.0,1022,36.069896123009606,-79.66741880496875
1022,1023.0,1023,36.161186373430546,-79.66199369376986
1023,1024.0,1024,36.12602284879963,-79.70342948246241
1024,1025.0,1025,36.16803006774814,-79.75032424462312
1025,1026.0,1026,36.216915692612915,-79.82182005974303
1026,1027.0,1027,36.2198711739783,-79.73533685041998
1027,1028.0,1028,36.13303170232144,-79.81107798247042
1028,1029.0,1029,36.15677833298649,-79.85441461737335
1029,1030.0,1030,36.129599391650586,-79.84154804164234
1030,1031.0,1031,36.161885937963504,-79.80044004664482
1031,1032.0,1032,36.146339339693654,-79.82463996142785
1032,1033.0,1033,36.201381439428204,-79.8978525028111
1033,1034.0,1034,36.234233577565035,-79.97131515028164
1034,1035.0,1035,36.186356042348706,-80.00493555261193
1035,1036.0,1036,36.16012457126602,-79.9469809801266
1036,1037.0,1037,36.15992323477434,-79.88981268802651
1037,1038.0,1038,36.13442206846608,-79.88309255131192
1038,1039.0,1039,36.12126217598385,-79.87618564804656
1039,1040.0,1040,36.13426110895064,-79.93380225965765
1040,1041.0,1041,36.12880635389708,-79.90845457567364
1041,1042.0,1042,36.107617410352454,-79.90186551392868
1042,1043.0,1043,36.07989118385619,-79.92732434158731
1043,1044.0,1044,36.09871855430082,-79.88865011936404
1044,1045.0,1045,36.0828084122556,-79.90133831758953
1045,1046.0,1046,36.07786749536033,-79.88003915240184
1046,1047.0,1047,36.12637243829448,-79.99948410778512
1047,1048.0,1048,36.07012398103071,-80.02349852871025
1048,1049.0,1049,36.064100542729676,-79.98754082076445
1049,1050.0,1050,36.04490654182215,-79.97585833272944
1050,1051.0,1051,36.01998395141834,-80.02748025208584
1051,1052.0,1052,36.02191692718646,-80.0039145391401
1052,1053.0,1053,36.02749641610001,-79.98470213249297
1053,1054.0,1054,36.0129352064661,-79.96777584151064
1054,1055.0,1055,36.062702733521924,-79.93356141444286
1055,1056.0,1056,36.04950631052249,-79.95015890206791
1056,1057.0,1057,36.030094706555595,-79.941049251967
1057,1058.0,1058,36.02169203970204,-79.9324608612686
1058,1059.0,1059,36.00527530372119,-79.93664248127655
1059,1060.0,1060,35.97485135507859,-79.93872047543579
1060,1061.0,1061,36.00177967215594,-79.8902291232992
1061,1062.0,1062,36.04832782579651,-79.90354648142286
1062,1063.0,1063,36.02823681185036,-79.9146709568099
1063,1064.0,1064,36.024345415375095,-79.90141897420052
1064,1065.0,1065,35.93892599251193,-79.9136193704558
1065,1066.0,1066,35.986139514698465,-79.84472465444641
1066,1067.0,1067,35.94450990310069,-79.84633578557607
1067,1068.0,1068,35.98427624265953,-79.77702717136863
1068,1069.0,1069,35.93517115409941,-79.74307736099779
1069,1070.0,1070,35.94794254996277,-79.61034282897448
1070,1071.0,1071,35.985700099188726,-79.69767638861917
1071,1072.0,1072,36.011348621741014,-79.73686513896857
1072,1073.0,1073,36.027448051096314,-79.6162352747697
1073,1074.0,1074,36.10393347683745,-79.93553267617251
